category,Topic,Count,Name,Representation,Representative_Docs,final_topic_id,final_topic
food,12,207,12_movie_netflix_episode_watch,"['movie', 'netflix', 'episode', 'watch', 'movies', 'watching', 'amp', 'film', 'star', 'night']","['chinese food movie', 'chinese food movie !', 'chinese food movie ✡️']",7,媒体娱乐、平台文本与知识生产
food,13,202,13_hot pot_pot_hot_hotpot,"['hot pot', 'pot', 'hot', 'hotpot', 'chain', 'rat', 'spicy', 'broth', 'wei', 'value']","['wikihow make chinese hot pot lunarnewyear', 'chinese hot pot majindad', 'chinese hot pot!']",1,具体中餐菜品、烹饪对象与口味类型
food,14,175,14_fried rice_rice_fried_egg,"['fried rice', 'rice', 'fried', 'egg', 'egg fried', 'sausage', 'recipe', 'make', 'chicken', 'stir']","['yangzhou fried rice, 💯% like indian chinese 😉', 'try chinese chicken fried rice 😍', 'chinese chicken fried rice 🍚']",1,具体中餐菜品、烹饪对象与口味类型
food,15,167,15_nyc_new york_york_new,"['nyc', 'new york', 'york', 'new', 'york city', 'city', 'manhattan', 'brooklyn', 'ny', 'guide']","['eat chinese food new york', 'eat chinese food new york', 'new york chinese food undefeated.']",2,餐馆推荐、城市空间与外食品牌场景
food,16,166,16_breakfast_lunch_leftover_morning,"['breakfast', 'lunch', 'leftover', 'morning', 'woke', 'dinner', 'congee', 'nap', 'sleep', 'time']","['chinese food breakfast morningwin', 'chinese food breakfast?', 'leftover chinese food breakfast lunch &amp; dinner today']",4,日常点餐、外卖、剩菜与家庭消费实践
food,17,158,17_london_festival_sgv_best,"['london', 'festival', 'sgv', 'best', 'chinesenewyear', 'takeaway', 'england', 'manchester', 'market', 'city']","['get great chinese food london', 'istanbul designers chinese food london restaurant:', ""what's best chinese food london?""]",2,餐馆推荐、城市空间与外食品牌场景
food,18,156,18_police_man_delivery_delivery driver,"['police', 'man', 'delivery', 'delivery driver', 'driver', 'shot', 'delivery man', 'shooting', 'worker', 'queens']","['chinese food delivery man fights robbers, police say', 'police: man robbed dover food delivery driver gun, took chinese food', 'chinese food delivery man shot killed northeast: local food delivery driver gunned while...']",6,新闻事件、公共危机与种族化争议
food,19,137,19_love_news_exciting_said,"['love', 'news', 'exciting', 'said', 'sure', 'mandarin', 'girl', 'love much', 'loved', 'make sure']","['u really love chinese food', 'love chinese food!!!', 'love chinese food 😍😍😍 ~ sam']",8,泛化评价、饮食偏好与弱语义闲聊
food,20,131,20_fortune_cookie_cookies_fortune cookies,"['fortune', 'cookie', 'cookies', 'fortune cookies', 'got', 'two', 'give', 'bag', 'get', 'us']","['order chinese food....and give two fortune cookies....which fortune follow? fortune limit? many? 🤔😂', 'fortune cookie chinese food tonight :)', 'justice scalia get chinese food fortune cookies contain musings constitution?']",1,具体中餐菜品、烹饪对象与口味类型
food,21,127,21_racist_trump_reporter_white,"['racist', 'trump', 'reporter', 'white', 'term', 'clean', 'saying', 'question', 'asking', 'president']","[""oan reporter roasted asking trump saying 'chinese food' racist: 'dumbest question' ever"", 'oan reporter roasted asking trump saying ""chinese food"" racist: ""dumbest question"" ever', 'oan reporter roasted asking trump saying ""chinese food"" racist: ""dumbest question"" ever']",6,新闻事件、公共危机与种族化争议
food,22,123,22_toronto_vancouver_best_montreal,"['toronto', 'vancouver', 'best', 'montreal', 'late night', 'late', 'canada', 'spots', 'cheap', 'night']","['go cheap chinese street food toronto toronto', 'get best chinese food toronto.', ""hunt toronto's best chinese food""]",2,餐馆推荐、城市空间与外食品牌场景
food,23,114,23_coronavirus_covid_virus_19,"['coronavirus', 'covid', 'virus', '19', 'fear', 'racist', 'racism', 'local', 'support', 'spread']","['no, get coronavirus chinese food. drink bleach | ranjana srivastava', 'politicians eating chinese food cameras? needles found strawberries. auspol coronavirus ..as coronavirus fears spread, chinese restaurants report 80pc drop business', ""verify: no, can't get coronavirus eating chinese food""]",6,新闻事件、公共危机与种族化争议
food,24,107,24_duck_peking duck_peking_beijing,"['duck', 'peking duck', 'peking', 'beijing', 'presents', 'crispy duck', 'tan', 'crispy', 'roast', 'roast duck']","['happy national peking duck day! think &amp; start peking duck bus tour around atlanta chinese restaurants. nationalpekingduckday', 'luxe chinese restaurant serves flaming peking duck tableside:', 'chinese new year: replicating nixon zhou enlai’s peking duck dinner pongplomacy uschina40']",1,具体中餐菜品、烹饪对象与口味类型
food,25,102,25_want_need_wanna_im,"['want', 'need', 'wanna', 'im', 'gonna', 'right', 'rn', 'paid', 'ya', 'get']","['want chinese food', 'think want chinese food....', 'want chinese food....']",4,日常点餐、外卖、剩菜与家庭消费实践
food,26,102,26_pork_sour_chicken_sweet sour,"['pork', 'sour', 'chicken', 'sweet sour', 'sweet', 'recipe', 'sour pork', 'shrimp', 'orange chicken', 'orange']","['sweet sour pork real chinese food.', 'sweet sour pork. lot people write sweet sour pork westernised chinese sweet sour one popular styles cooking throughout china. absolutely “real” chinese food..video recipe here:', ""ditch takeaway 's chinese sweet sour pork - lorrainekitchen recipe""]",1,具体中餐菜品、烹饪对象与口味类型
food,27,97,27_craving_crave_cravings_recipes,"['craving', 'crave', 'cravings', 'recipes', 'let us', 'baby', 'prepared', 'table', '17', 'diet']","['craving chinese food', 'craving chinese food☹️', 'craving chinese food.']",4,日常点餐、外卖、剩菜与家庭消费实践
food,28,94,28_chef_chefs_wong_kitchen,"['chef', 'chefs', 'wong', 'kitchen', 'andrew', 'dishes', 'around world', 'american', 'around', 'behind']","['atlas kitchen heralds new type chinese restaurant city, one seasoned chef willing take risks, selecting favorite dishes china', 'audacious korean-american chef mastered ""mission chinese food"" via', ""audacious korean-american chef mastered 'mission chinese food'""]",5,正宗性、身份边界与跨国本土化
food,29,91,29_cold_leftover_leftovers_gt,"['cold', 'leftover', 'leftovers', 'gt', 'pizza', 'gt gt', 'ice', 'microwave', 'better', 'days']","['yes. cold chinese food &gt; cold pizza too.', 'cold chinese food &gt; cold pizza', 'cold chinese food &gt; cold pizza']",4,日常点餐、外卖、剩菜与家庭消费实践
food,30,85,30_year_new year_new_longevity,"['year', 'new year', 'new', 'longevity', 'noodles', 'happy new', 'happy', 'celebrate', 'long', 'celebrate new']","['happy chinese new year! .in chinese culture, noodles symbolize longevity traditionally always eaten chinese new year feast.. recipe noodles chinesenewyear yearofthedog', 'chinese new year! happychinesenewyear noodles longevity yearoftherooster 🐔', 'year, serve chinese new year long life noodles usher longevity good fortune new year!']",3,节日仪式与族裔文化传统中的中餐
food,31,83,31_mom_dad_father_parents,"['mom', 'dad', 'father', 'parents', 'mother', 'year old', 'grateful', 'first', 'daughter', 'instagram']","['know fathers daughter mom &amp; brother yelling jeopardy tv &amp; dad sitting like *chinese food*', 'mom: get bra on, going chinese..me: ...we?.mom: yeah, sister says could fuck fried rice..me: stuck ""we."".mom: oh, paying.', 'cooking homestyle chinese food mom ❤️🔥']",4,日常点餐、外卖、剩菜与家庭消费实践
food,32,78,32_sounds_healthy_best best_pretty,"['sounds', 'healthy', 'best best', 'pretty', 'capital', 'best', 'get ready', 'health', 'healthier', 'better']","['get ready chow capital’s tastiest chinese food – best best.', 'get ready chow capital’s tastiest chinese food – best best.', 'get ready chow capital’s tastiest chinese food – best best.']",8,泛化评价、饮食偏好与弱语义闲聊
food,33,78,33_minister_ban_selling_banned,"['minister', 'ban', 'selling', 'banned', 'india', 'sell', 'amid', 'closed', 'go', 'says']","['restaurants selling chinese food banned. appeal people boycott chinese food: union minister ramdas athawale. .indiachinafaceoff chinaindiaborder galwanvalleyclash banchineseproducts chinaindiafaceoff tv9news', ""restaurants selling chinese food banned', union minister . | indiablockschina.."", 'restaurants selling chinese food banned. appeal people boycott chinese food: union minister ramdas athawale ani']",6,新闻事件、公共危机与种族化争议
food,34,77,34_trump_near_google_late,"['trump', 'near', 'google', 'late', 'house', 'newsroom', 'night', 'office', 'news', 'party']","['comes chinese food, trump, stephen hawking.', 'google searches reached all-time highs election night, according google trends 🍕.∙ cookies near me.∙ chinese food near me.∙ liquor stores near me.∙ pizza near me.∙ burgers near me.∙ fries near', 'hilary like: ""trump chinese food lunch!!!!"" debatenight']",6,新闻事件、公共危机与种族化争议
food,35,76,35_woman_arrested_calling_complain,"['woman', 'arrested', 'calling', 'complain', 'calls', 'bad', 'report', 'called', 'police', 'photo']","[""woman arrested calling 911 complain chinese food ordered 'not par'"", 'woman arrested calling 911 complain chinese food', 'woman arrested calling 911 complain chinese food']",6,新闻事件、公共危机与种族化争议
food,36,74,36_chopsticks_sets_oil_using,"['chopsticks', 'sets', 'oil', 'using', 'forks', 'fork', 'containers', 'takeout', 'opens', 'secret']","['unused photo shoot rian ram eating chinese takeout lightsaber chopsticks', 'chinese food place won’t give chopsticks anymore. ..“no one uses chopsticks,” told me.', 'since bought chopsticks amazon love chinese food delivery forgets chopsticks cause im like booya bitch already got chopsticks']",5,正宗性、身份边界与跨国本土化
food,37,73,37_mission_close_ryan_new,"['mission', 'close', 'ryan', 'new', 'look', 'mushroom', 'beer', 'return', 'words', 'stars']","['danny bowien reopens mission chinese food', 'danny bowien reopens mission chinese food', 'mission chinese food popping frankies 457 tonight.']",2,餐馆推荐、城市空间与外食品牌场景
food,38,72,38_delish_ass_gt_green,"['delish', 'ass', 'gt', 'green', 'amp', 'else', 'though', 'also', 'used', 'know']","['r: naah. also used. anything else?.neta: eat chinese food?.r: nope. used..neta: erm... pix guys fb?', 'arielle 👩🏻&amp; auntie bei bei 👵🏽 teaching congee &amp; traditional chinese 🥣 medicine 5 element eating! 😊 delish ! congeeandme ✨ sf', 'china xo bringing flavourful chinese extravaganza delhi via chennai!💫.relish authentic chinese dishes like traditional dim sums, heavenly cantonese chicken, delectable peking duck &amp; much luxurious backdrop.✨.book now-']",8,泛化评价、饮食偏好与弱语义闲聊
food,39,66,39_pizza_pizzas_coke_rolls,"['pizza', 'pizzas', 'coke', 'rolls', 'else', 'pie', 'boxes', 'anything', 'kids', 'containers']","['chinese food american pizza.', 'pizza rolled sub chinese food it?', 'pizza???no, chinese food. ;)']",4,日常点餐、外卖、剩菜与家庭消费实践
food,40,66,40_tweet_twitter_tweets_instagram,"['tweet', 'twitter', 'tweets', 'instagram', 'free', 'tweeted', 'super', 'get', 'thanks', 'tell']","['ngl ate much chinese food cant really tweet much', 'last tweet because.....my aunts dog ate chinese food 😩', 'asked, listened 👂! .tweet w/🍜 + htbspromotion 2 get free chinese food! singlelifedelivered']",7,媒体娱乐、平台文本与知识生产
food,41,62,41_panda_panda express_express_orange chicken,"['panda', 'panda express', 'express', 'orange chicken', 'orange', 'themed', 'wants', 'american', '10', 'chicken']","['panda express authentic chinese food', 'best chinese food = panda express newark', 'panda express isn’t chinese food']",5,正宗性、身份边界与跨国本土化
food,42,58,42_sichuan_hot pot_farm_hot,"['sichuan', 'hot pot', 'farm', 'hot', 'pot', 'fare', 'chongqing', 'table', 'spicy', 'best']","['experience best chinese food, including numbing sichuan feasts, dim sum farm-to-table fare', 'experience best chinese food, including numbing sichuan feasts, dim sum farm-to-table fare', 'dumplings, spicy sichuan specialties, hot pot,']",1,具体中餐菜品、烹饪对象与口味类型
food,43,57,43_writing_munchieschinesefoodweek_staple_person,"['writing', 'munchieschinesefoodweek', 'staple', 'person', 'health', 'congee', 'wrote', 'breakfast', 'step', 'nyc']","['struggles writing chinese food chinese person', '. struggles writing chinese food chinese person munchieschinesefoodweek', '. struggles writing chinese food chinese person munchieschinesefoodweek']",7,媒体娱乐、平台文本与知识生产
food,44,52,44_died_100_francisco_san francisco,"['died', '100', 'francisco', 'san francisco', 'introduced', 'america', 'famed', 'san', 'authentic', 'mandarin']","['cecilia chiang, whose san francisco restaurant, mandarin, introduced american diners 1960s richness variety authentic chinese cuisine, died wednesday home san francisco. 100.', 'cecilia chiang, opened mandarin restaurant san francisco introduced american diners richness variety authentic chinese cuisine, died. 100.', 'cecilia chiang, opened famed mandarin restaurant san francisco introduced american diners richness variety authentic chinese cuisine, died. 100..']",5,正宗性、身份边界与跨国本土化
food,45,50,45_airport_flight_front_onto,"['airport', 'flight', 'front', 'onto', '30am', 'flying', 'greasy', 'someone', 'sitting', 'worst']","['airport really would appreciated that. ate chinese food breakfast 🙁', 'why, oh, eat midway airport chinese food? queasy', 'someone eating chinese food 5:58 a.m. airport. kinda want chinese food 5:58 a.m. airport.']",4,日常点餐、外卖、剩菜与家庭消费实践
food,46,50,46_soup_wonton_wonton soup_bowl,"['soup', 'wonton', 'wonton soup', 'bowl', 'noodle soup', 'bowls', 'wontons', '60', 'bought', 'noodles']","['wonton soup one heartiest chinese comfort foods. it’s also fantastic, healthy freezer meal whole family. check step-by-step guide foodista community member making delicious wonton soup home. .', 'like wonton soup. like ribs. there\'s nothing chinese menu that\'s good."" jim kenney', 'matzoh ball soup. available, wonton soup nearest questionable chinese restaurant.']",1,具体中餐菜品、烹饪对象与口味类型
food,47,50,47_wife_husband_married_relationship,"['wife', 'husband', 'married', 'relationship', 'girlfriend', 'want', 'hate', 'salad', 'let', 'tom']","['husband away, wife orders chinese food plays unravel :d', 'wife order chinese food.', 'me: want dinner?.my wife: it’s you. .me: want hamburgers?.wife: no….me: want chinese?.wife: nah. .me: tacos?.wife: no….me: noodles?.wife: no….me: well, want?.wife: it’s you.']",4,日常点餐、外卖、剩菜与家庭消费实践
